org_name,org_name_spanish,org_website,org_languages_spoken,org_languages_spoken_spanish,org_customers_served,org_customers_served_spanish,org_notes,org_notes_spanish,org_categories,org_categories_spanish,org_tags,org_tags_spanish,org_locations,org_services,org_schedule,org_id,locations_id,locations_city,location_address,location_address_2,location_name,location_name_spanish,location_state,location_email,location_zip,location_phone,location_website,location_notes,location_notes_spanish,location_services,location_services_spanish,location_latitude,location_longitude,services_names,services_id,schedule_location_name,schedule_locations_id,schedule_open_time,schedule_close_time,schedule_ordinal_open,schedule_day,schedule_day_spanish,schedule_notes,schedule_notes_spanish,Field 46,locations,locations 2,locations 3,locations 4
,,,,,,,,,,,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600 Club,1600 Club,,English,inglés,,,,,substance use,uso de sustancias,"1600 club,english,93458,santa maria,alcoholics anonymous,324 w. cypress st,substance use","1600 club,inglés,93458,santa maria,alcohólicos anónimos,324 w. cypress st,uso de sustancias",Santa Maria,Alcoholics Anonymous,"08:30,11:00,19:00,08:00,12:00,12:00,17:30,20:00,17:00",981,176,Santa Maria,324 W. Cypress St,,,,CA,,93458,,,,,Alcoholics Anonymous,alcoholicos anonimos,34.95065570,-120.44015100,Alcoholics Anonymous,34,Santa Maria;Santa Maria;Santa Maria;Santa Maria;Santa Maria;Santa Maria;Santa Maria;Santa Maria;Santa Maria,"176, 176, 176, 176, 176, 176, 176, 176, 176","08:30, 11:00, 19:00, 08:00, 12:00, 12:00, 17:30, 20:00, 17:00","09:30, 12:00, 20:00, 09:00, 13:00, 13:00, 18:30, 21:00, 18:00",;;;;;;;;,"Sun;Sun;Sun;Mon, Wed, Fri;Mon, Wed, Thur, Fri, Sat;Tue;Mon, Tue, Wed, Thu, Fri;Tue, Thu, Fri;Sat","Dom; dom; dom; lun, mié, vie; lun, mié, jue, vie, sáb; mar; lun, mar, mié, jue, vie; mar, jue, vie; sáb",Women,Mujeres,,,,,
A Different Point of View,Un punto de vista distinto,https://www.adifferentpointofview.org/,English,inglés,"Youth, Students","Juventud, Estudiantes","Through our programs, youth come away with a new understanding that they are the captains of their ships and the variety of options the aviation world has to offer. They gain self-confidence, self-advocacy and the belief that they can succeed in the world. Our purpose is to give them the tools to live a full and meaningful life.  A student walks in to a supportive community and walks out with tools to navigate their decision making skills. They truly learn that the sky is NOT the limit!
","A través de nuestros programas, los jóvenes adquieren un nuevo entendimiento de que son los capitanes de sus barcos y de la variedad de opciones que ofrece el mundo de la aviación. Adquieren confianza en sí mismos, autodefensa y la creencia de que pueden triunfar en el mundo. Nuestro propósito es brindarles las herramientas para vivir una vida plena y significativa. Un estudiante ingresa a una comunidad de apoyo y sale con herramientas para navegar sus habilidades de toma de decisiones. ¡Realmente aprenden que el cielo NO es el límite!",community support,soporte comunitario,"a different point of view,youth,students,english,93160,santa barbara,youth service,mentorship,p.o. box 6562,community support","un punto de vista diferente,juventud,estudiantes,inglés,93160,santa barbara,servicio juvenil,tutoría,po box 6562,apoyo comunitario",Santa Barbara,"Youth Service,Mentorship",,1008,219,Santa Barbara,P.O. Box 6562,,,,CA,ali@adifferentpointofview.org,93160,(805) 698-6784,,,,"Youth Service, Mentorship","Servicio juvenil, Mentoría",34.43000000,-119.80000000,"Youth Service, Mentorship","40, 85",,,,,,,,,,,,,,
Abba Employer Services INC,Abba Employer Services INC,,English,inglés,,,,,employment,empleo,"abba employer services inc,english,93458,santa maria,110 s pine st.,employment,temp agency","abba empleador servicios inc,inglés,93458,santa maria,110 s pine st.,empleo,agencia temporal",Santa Maria,Temp Agency,08:30,1114,436,Santa Maria,110 S Pine St.,,,,CA,,93458,(805) 928-6555,,,,Temp Agency,Agencia de trabajo temporal,34.95221590,-120.43868870,Temp Agency,118,Santa Maria,436,08:30,16:30,,"Mon, Tue, Wed, Thu, Fri","Lun, mar, mié, jue, vie",,,,,,,
Achievement House INC.,Achievement House INC.,https://achievementhouse.org/lompoc-2/,English,inglés,,,"Achievement House, Inc. is a private,
non-profit agency initially established
for the purpose of providing rehabilitation
and community living services adults
with mental and/or physical disabilities.","Achievement House, Inc. es una agencia privada sin fines de lucro establecida inicialmente con el propósito de brindar servicios de rehabilitación y vida comunitaria a adultos con discapacidades mentales y / o físicas.","clothing,resource directory","ropa,directorio de recursos","achievement house inc.,english,93436,lompoc,101 east chestnut,93454,santa maria,1765 s. broadway,2414 s. broadway ,clothing,resource directory,thrift store","Achievement house inc.,inglés,93436,lompoc,101 east chestnut,93454,santa maria,1765 s. Broadway,2414 s. broadway,directorio de recursos,ropa,tienda de segunda mano","Lompoc,Santa Maria,Santa Maria","Thrift Store,Clothing","09:00,09:15,10:00,10:00",1094,"416, 638, 639","Lompoc, Santa Maria, Santa Maria","101 East Chestnut, 1765 S. Broadway, 2414 S. Broadway ",,"Lompoc Thrift Store, Santa Maria Thrift Store, Broadway Pavillion","Tienda de segunda mano de Lompoc,tienda de segunda mano de Santa Maria,Broadway Pavillion","CA, CA, CA",,"93436, 93454, 93454",(805) 938-6203,"https://achievementhouse.org/santa-maria-2/, https://achievementhouse.org/",,,"Thrift Store;Thrift Store, Clothing;Thrift Store, Clothing","Tienda de segunda mano; Tienda de segunda mano, Ropa; Tienda de segunda mano, Ropa","34.64250310, 34.92844340, 34.91620670","-120.45750090, -120.43650570, -120.43591270","Thrift Store, Clothing","117, 80",Lompoc;Santa Maria;Santa Maria;Santa Maria,"416, 639, 639, 639","09:00, 09:15, 10:00, 10:00","16:30, 17:30, 16:30, 15:30",;;;;,"Mon, Tue, Wed, Thu, Fri, Sat;;Mon, Tue, Wed, Thu, Fri;Sat;Sun","Lun, mar, mié, jue, vie, sáb ;; lun, mar, mié, jue, vie; sáb; dom",;;;;,;;;;,,,,,
Addiction Tree Counseling Services,Servicios de asesoramiento sobre árboles de adicciones,,English,inglés,,,,,substance use,uso de sustancias,"addiction tree counseling services,english,93454,santa maria,unnamed service,outpatient counseling,1414 s. miller street,substance use","servicios de consejería sobre árboles de adicciones,inglés,93454,santa maria,servicio sin nombre,consejería para pacientes ambulatorios,1414 s. Miller Street,uso de sustancias",Santa Maria,Outpatient Counseling,,976,171,Santa Maria,1414 S. Miller Street,Suite 10,,,CA,,93454,(805) 623-2203,,,,Outpatient Counseling,Consejería para pacientes ambulatorios,34.93710490,-120.43139710,Outpatient Counseling,8,,,,,,,,,,,,,,
Adult Mental Health Services,Servicios de salud mental para adultos,https://www.countyofsb.org/behavioral-wellness/adult-home.sbc,English,inglés,,,"Part of the Santa Barbara County of Department of Behavioral Wellness. We serve adults who are Medi-Cal beneficiaries with severe mental illness and/or substance use disorders, as well as individuals experiencing mental health crises. To obtain services, call the 24/7 Access Line, 1-888-868-1649.","Parte del Departamento de Bienestar Conductual del Condado de Santa Bárbara. Servimos a adultos que son beneficiarios de Medi-Cal con enfermedades mentales graves y / o trastornos por uso de sustancias, así como a personas que atraviesan crisis de salud mental. Para obtener servicios, llame a la Línea de acceso 24 horas al día, 7 días a la semana, 1-888-868-1649.",mental health,salud mental,"english,93436,lompoc,outpatient counseling,93455,santa maria,93110,santa barbara,117 n. b street,500 west foster road,4444 calle real,mental health,adult mental health services","inglés,93436,lompoc,consejería ambulatoria,93455,santa maria,93110,santa barbara,117 n. b street,500 west foster road,4444 calle real,salud mental,servicios de salud mental para adultos","Lompoc,Santa Maria,Santa Barbara","Outpatient Counseling,Outpatient Counseling",,1014,"239, 331, 323","Lompoc, Santa Maria, Santa Barbara","117 N. B Street, 500 West Foster Road, 4444 Calle Real",,Santa Maria Cty Mental Health,Compañía de Salud Mental Santa Maria,"CA, CA, CA",,"93436, 93455, 93110","(805) 737-6690, (805) 934-6380, (805) 681-5190",,,,"Outpatient Counseling;Outpatient Counseling;Vocational Rehabilitation, Group Therapy, Crisis Stabilization, Counseling, Substance Abuse Treatment, Outpatient Counseling","Consejería para pacientes ambulatorios; Consejería para pacientes ambulatorios; Rehabilitación vocacional, Terapia de grupo, Estabilización de crisis, Consejería, Tratamiento por abuso de sustancias, Consejería para pacientes ambulatorios","34.63986040, 34.88067900, 34.44327110","-120.45063790, -120.44215430, -119.77896410","Outpatient Counseling, Outpatient Counseling","45, 8",,,,,;;,;;,;;,;;,;;,,,,,
